src,dst
0,3701
0,4121
0,17500
1,417
1,28008
1,30510
2,4561
2,10609
2,12205
2,31376
3,6466
3,6575
3,22917
4,8618
4,8811
4,13286
5,1476
5,14791
5,15709
5,29227
6,8239
6,14335
6,21691
7,948
7,7025
7,13228
7,25285
8,1605
8,2293
8,6826
8,30506
8,33191
9,6032
9,15362
9,19537
9,24312
10,8232
10,19653
10,21806
11,5131
11,13699
11,22537
12,1757
12,8438
12,18984
12,19472
13,8075
13,15821
13,15966
13,28008
13,30510
14,1320
14,11889
14,23905
14,30961
15,639
15,4003
15,6640
15,18729
15,27486
16,7204
16,29858
16,32380
18,10599
18,12860
18,16983
18,27244
18,29212
18,32713
19,385
19,5702
19,6341
19,7884
19,19295
19,21273
19,26610
19,31790
20,5814
20,5961
20,6299
20,19450
20,22229
21,9305
21,20882
21,31735
22,9532
22,9542
22,11142
23,1671
23,9483
23,15221
23,19201
23,28339
24,6788
24,32504
24,32718
25,11414
25,20932
25,27608
26,2805
26,12631
26,13323
26,16283
27,4083
27,14466
27,14595
27,32913
27,33218
28,4488
28,7819
28,11979
28,15101
28,18866
28,20997
28,21719
28,21941
29,4875
29,8926
29,17438
30,2678
30,8217
30,15500
31,1608
31,5734
31,7219
31,21326
31,26320
32,12508
32,20358
32,33173
33,12269
33,20672
33,23241
33,27248
34,1451
34,1959
34,2348
34,11557
35,5949
35,7609
35,13251
35,27375
36,6431
36,18345
36,32370
37,2494
37,7396
37,20732
37,27332
37,27777
38,9538
38,13743
38,16168
38,26783
38,30018
39,13007
39,22854
39,28508
39,29006
40,17093
40,29877
40,30121
40,33348
41,11559
41,11916
41,19955
41,25060
41,32349
42,20851
42,28249
42,28401
42,30624
42,33331
43,20739
43,28902
43,32083
44,697
44,2065
44,13692
44,29241
45,6872
45,8911
45,9534
45,20398
45,26257
45,26384
45,29726
46,2773
46,3161
46,16812
47,13844
47,26430
47,29314
48,3891
48,5190
48,13045
48,18896
49,849
49,17538
50,4423
50,9673
50,15536
50,24462
50,27886
51,4216
51,16714
51,30556
52,2323
52,14639
52,21790
52,26245
52,29104
53,1061
53,21573
53,30001
54,4569
54,6849
54,13655
54,18320
54,18379
54,26164
55,5729
55,20056
55,23838
56,3837
56,5516
56,7389
57,2673
57,12452
57,16401
57,22610
57,25788
58,2769
58,9120
58,22144
59,4026
59,16489
59,17347
60,11846
60,28435
60,31787
61,1099
61,3253
61,4926
62,14820
62,18031
62,30768
63,5261
63,15329
63,21239
64,3854
64,15231
64,15353
65,8977
65,14378
65,19449
66,5654
66,18532
66,26006
67,8670
67,23077
67,27503
67,29122
68,172
68,4304
68,6336
68,23271
69,1868
69,2599
69,5649
69,20237
70,9008
70,17795
70,18205
70,24884
71,14082
71,20476
71,21747
72,2974
72,5505
72,6805
72,11878
72,21552
72,23075
72,25219
73,4477
73,8899
73,9117
73,10950
74,10733
74,19708
74,21584
74,32996
75,6969
75,12063
75,14179
75,18854
75,33135
76,2316
76,13740
76,29325
77,1842
77,6730
77,18646
77,28074
78,16850
78,17612
78,27801
79,829
79,1971
79,4834
79,32737
80,15836
80,23339
80,28757
81,24858
81,25303
81,28064
81,32501
81,32509
82,2726
82,31775
82,32793
83,6545
83,20581
83,22076
83,25530
84,6800
84,9161
84,12114
84,19088
85,10702
85,13918
85,16822
85,19792
85,32034
86,4687
86,8820
86,23921
87,12507
87,22541
87,27274
88,763
88,3905
88,10909
88,20662
89,2628
89,9744
89,19787
90,7440
90,12438
90,29116
91,4128
91,12682
91,20461
91,27077
92,6668
92,10480
92,10613
92,32002
93,23437
93,26875
93,27559
93,31205
94,4875
94,13489
94,22381
94,31563
95,5601
95,16845
95,26029
96,16530
96,16611
96,26032
97,12145
97,21456
97,26219
98,6342
98,12486
98,30852
99,1349
99,5873
99,24803
99,27745
100,10901
100,17301
100,20242
100,24785
101,4073
101,5533
101,21309
101,21764
102,11331
102,19177
102,21347
103,3987
103,16006
103,24233
104,417
104,15462
104,29257
105,15615
105,16173
105,19757
105,20938
105,31396
106,11830
106,17114
106,23869
106,26622
106,31492
107,9705
107,12752
107,28664
108,1387
108,7488
108,29833
109,5897
109,11407
109,12531
109,28067
109,28888
110,12458
110,23664
110,33067
111,10343
111,11696
111,18257
111,26055
112,22097
112,26925
112,27792
113,3187
113,5746
113,16399
113,23691
113,24875
113,29423
114,19222
114,23518
114,24105
114,26832
115,4178
115,5053
115,21701
115,23720
116,5569
116,10700
116,31938
117,2290
117,4604
117,4871
117,5538
117,15783
118,1302
118,5790
118,12391
119,4986
119,5742
119,8344
119,28776
119,30322
120,9025
120,13441
120,13720
120,14068
120,32577
121,7667
121,11703
121,12599
122,476
122,11238
122,13830
122,14546
122,21412
123,373
123,7213
123,15478
123,26695
124,5305
124,9218
124,12595
124,17495
125,4653
125,18119
125,31460
126,18536
126,20377
126,27065
127,8359
127,9235
127,18353
127,32484
129,17214
129,26767
130,862
130,2220
130,9026
130,11950
130,19127
130,19568
131,6033
131,8470
131,9845
131,28026
132,15022
132,30873
132,31975
133,2449
133,5560
133,14240
133,21674
134,722
134,8770
134,18284
134,26951
135,13898
135,14027
135,16540
135,18441
136,5735
136,8270
136,8800
136,29664
137,9215
137,23319
137,26989
138,8111
138,8461
138,16412
138,20887
139,15965
139,19877
139,29441
140,3354
140,10670
140,19273
141,4081
141,8487
141,18331
141,28643
141,30026
142,1188
142,7814
142,16763
142,23095
143,3144
143,12601
143,14622
143,17284
143,31371
144,8247
144,8952
144,14372
144,16522
144,28461
145,705
145,2874
145,23497
146,9305
146,21621
146,26941
146,29755
147,19812
147,21770
147,22091
147,32650
148,409
148,28677
148,28918
149,5303
149,17925
149,19156
150,19932
150,21874
150,32655
151,3702
151,6171
151,6173
151,19355
151,30988
152,19998
152,24166
152,28550
153,2891
153,4680
153,11248
153,28852
153,30536
154,14854
154,23123
154,28837
155,7490
155,18120
155,24195
155,27978
155,30066
156,4386
156,9414
156,10915
156,31671
157,4448
157,9757
157,15903
157,20517
157,27367
158,1032
158,2911
158,3832
158,23694
158,31294
158,31652
159,701
159,3069
159,10317
159,10453
160,808
160,1567
160,5779
160,25652
161,5618
161,7299
161,9460
161,17558
161,22754
162,17575
162,22816
162,23440
163,794
163,3541
163,12565
164,679
164,7837
164,22423
165,8634
165,20860
165,24427
166,4189
166,8600
166,22972
166,31807
167,874
167,5500
167,22158
168,2373
168,3105
168,10475
169,13337
169,13390
169,20892
169,22283
169,26987
170,715
170,719
170,17941
170,19103
170,19780
170,20656
171,7772
171,8927
171,18204
171,24990
172,4304
172,6336
172,14428
172,28942
173,12274
173,14084
173,14971
173,17203
173,20794
173,24561
174,10607
174,14431
174,28419
175,3920
175,23804
175,25498
175,32157
175,33436
176,8166
176,10586
176,14702
177,5997
177,17434
177,18306
177,21036
178,8925
178,16491
178,23799
178,27741
179,1800
179,2427
179,2765
179,16521
179,32253
180,9735
180,14882
180,19895
180,24148
181,3686
181,8105
181,10498
181,31358
182,835
182,2919
182,23018
183,4609
183,12161
183,26941
183,29629
184,5287
184,15660
184,26218
184,32411
185,2963
185,12574
185,21104
186,5026
186,10769
186,27364
187,6906
187,14607
187,21014
187,27946
188,9083
