id,x_px,y_px,type,label,r_kpc,size
0,11423.577,7989.093,star,,23.577,1.0
1,10251.552,2620.946,star,,35.898,1.0
2,3821.671,10531.483,star,,28.269,1.0
3,10591.935,11672.057,star,,36.697,1.0
4,2265.408,3180.788,star,,44.716,1.0
5,4837.907,10800.832,star,,23.833,1.0
6,11176.371,2031.28,star,,46.066,1.0
7,2504.371,6114.685,star,,29.230,1.0
8,627.433,5554.19,star,,48.793,1.0
9,11389.698,8569.166,star,,24.671,1.0
10,1879.529,9850.788,star,,40.344,1.0
11,3801.194,4589.134,star,,23.931,1.0
12,7035.5,11280.652,star,,21.487,1.0
13,10294.332,2697.245,star,,35.502,1.0
14,5810.93,2749.792,star,,27.665,1.0
15,6276.327,3470.471,star,,19.460,1.0
16,6050.092,2378.796,star,,30.601,1.0
17,4075.75,3789.505,star,,27.326,1.0
18,9377.262,1251.258,star,,44.274,1.0
19,4292.744,13301.401,star,,48.322,1.0
20,778.543,6659.42,star,,45.456,1.0
21,9128.103,11355.24,star,,26.389,1.0
22,2229.772,11263.578,star,,45.045,1.0
23,10746.99,3389.875,star,,32.886,1.0
24,8644.952,4121.176,star,,14.918,1.0
25,10247.407,3880.988,star,,25.890,1.0
26,3655.304,4506.784,star,,25.590,1.0
27,9731.091,3358.642,star,,26.875,1.0
28,1315.808,3905.136,star,,48.504,1.0
29,4300.113,9516.598,star,,17.965,1.0
30,11766.051,3961.145,star,,36.759,1.0
31,3250.153,8164.878,star,,21.613,1.0
32,3251.336,10972.177,star,,35.435,1.0
33,5493.795,11255.992,star,,24.727,1.0
34,6537.439,10699.656,star,,16.295,1.0
35,9534.512,12908.205,star,,42.257,1.0
36,3119.368,6986.103,star,,21.870,1.0
37,5822.405,13321.874,star,,43.434,1.0
38,1442.689,10792.747,star,,48.741,1.0
39,7589.16,1183.387,star,,41.280,1.0
40,3460.662,9573.861,star,,25.168,1.0
41,6420.634,982.467,star,,43.683,1.0
42,10138.362,5229.671,star,,16.150,1.0
43,10026.583,3265.055,star,,29.311,1.0
44,11367.235,11494.034,star,,40.402,1.0
45,7030.106,2209.117,star,,30.941,1.0
46,11023.337,5878.788,star,,21.161,1.0
47,5168.848,13128.241,star,,43.374,1.0
48,10878.795,6870.064,star,,17.593,1.0
49,4230.956,9351.916,star,,17.530,1.0
50,4897.766,12157.169,star,,35.390,1.0
51,9435.413,11451.629,star,,28.612,1.0
52,4053.557,8755.864,star,,16.003,1.0
53,12159.706,8078.67,star,,30.981,1.0
54,3313.71,12731.15,star,,48.390,1.0
55,2261.702,8410.202,star,,31.797,1.0
56,5378.652,12151.05,star,,33.468,1.0
57,5737.97,11155.946,star,,22.889,1.0
58,11421.788,7374.968,star,,22.887,1.0
